company_ntn,person_cnic,person_name,role,shareholding_percent
6765199-6,34101-8362384-5,Rizwan Cheema,CEO/Director,100
8006770-7,34603-6309661-9,Muhammad Bilawal Rana,CEO/Director,100
6322180-3,42101-7508009-2,Saba Awan,CEO/Director,60
2619456-9,33100-7328322-5,Muhammad Fahad Janjua,CEO/Director,60
5160187-0,33100-8493091-6,Rabia Butt,CEO/Director,100
7816324-9,61101-4137702-7,Muhammad Faizan Janjua,CEO/Director,75
6311053-3,37405-2204927-3,Umar Khan,CEO/Director,60
3284639-0,36302-0472396-0,Fatima Mir,CEO/Director,100
2494039-3,17301-6177773-3,Muhammad Shahzad Gondal,CEO/Director,60
6106508-5,17301-7816044-1,Imran Satti,CEO/Director,75
3289613-9,61101-6774605-5,Saad Mughal,CEO/Director,51
9716907-5,36302-8759342-9,Muhammad Waqas Butt,CEO/Director,75
7368433-4,33100-3749717-9,Ahmed Janjua,CEO/Director,75
2885986-7,37405-6890147-1,Danish Sheikh,CEO/Director,60
1999405-1,37405-9041939-7,Muhammad Saad Raja,CEO/Director,60
9850538-1,61101-6722018-9,Danish Warraich,CEO/Director,60
9675093-2,34603-8045121-5,Fahad Satti,CEO/Director,100
9511608-1,61101-3065542-4,Hira Sheikh,CEO/Director,75
4110883-8,42101-8268948-3,Muhammad Hassan Janjua,CEO/Director,51
6944301-1,35202-0842423-9,Muhammad Abbasi,CEO/Director,75
9219481-3,35202-2226089-4,Rabia Chaudhry,CEO/Director,75
7855138-8,34101-0920123-9,Muhammad Bilal Cheema,CEO/Director,60
2844839-2,17301-9975303-7,Salman Tarar,CEO/Director,75
9907367-8,42101-1584631-5,Nauman Janjua,CEO/Director,51
9495926-5,34101-1266480-7,Junaid Warraich,CEO/Director,51
5794451-9,17301-6610364-7,Muhammad Imran Cheema,CEO/Director,51
2696654-0,61101-3264226-5,Muhammad Usman Mughal,CEO/Director,100
2975358-1,36302-7076832-7,Muhammad Tariq Chaudhry,CEO/Director,60
4476008-6,17301-3328282-5,Asad Awan,CEO/Director,60
1227997-6,42101-7871398-9,Muhammad Zain Warraich,CEO/Director,60
6311139-2,42101-1930620-7,Junaid Khan,CEO/Director,100
7968144-3,35202-7395972-9,Bilawal Satti,CEO/Director,51
8207644-2,36302-0322646-5,Muhammad Imran Mir,CEO/Director,60
1217439-6,42101-3372138-7,Ahmed Qureshi,CEO/Director,51
4837932-0,17301-0301004-7,Muhammad Abdullah Janjua,CEO/Director,51
1922433-9,36302-3224499-7,Hussain Janjua,CEO/Director,60
9163429-3,17301-4513598-9,Abdullah Cheema,CEO/Director,60
1620898-6,42101-3889890-3,Nauman Janjua,CEO/Director,60
6822257-4,33100-3881927-1,Waqas Sheikh,CEO/Director,60
7785857-5,36302-4765228-8,Hina Abbasi,CEO/Director,75
6353874-9,61101-8531074-7,Danish Bhatti,CEO/Director,75
5079399-6,34603-7870141-3,Fahad Janjua,CEO/Director,60
4954705-5,42101-5207160-7,Muhammad Asad Bhatti,CEO/Director,75
3086815-0,17301-8973808-9,Zain Satti,CEO/Director,60
5121912-5,34101-4148115-7,Fahad Sheikh,CEO/Director,75
2866556-9,34101-1613592-5,Abdullah Abbasi,CEO/Director,51
4967392-3,42101-8982259-3,Muhammad Saad Chaudhry,CEO/Director,51
9683873-8,37405-1313397-9,Danish Janjua,CEO/Director,100
7191240-4,42101-3945625-9,Nauman Mir,CEO/Director,60
6284010-2,33100-9076848-9,Waqas Qureshi,CEO/Director,100
7859653-3,36302-1654203-5,Hassan Mir,CEO/Director,51
2496658-8,17301-4798621-3,Ali Qureshi,CEO/Director,60
4413591-4,37405-6386788-1,Muhammad Hassan Tarar,CEO/Director,75
2143029-1,17301-4941882-0,Sobia Butt,CEO/Director,100
1651791-3,61101-3609128-8,Sadia Sheikh,CEO/Director,51
8976853-8,34603-1927960-5,Muhammad Rizwan Sheikh,CEO/Director,60
8806267-8,34101-8475061-3,Muhammad Hamza Butt,CEO/Director,60
6776818-7,34101-0092422-3,Usman Raja,CEO/Director,100
4155057-0,33100-6214211-1,Muhammad Nauman Satti,CEO/Director,60
2097417-0,42101-3255932-7,Muhammad Hamza Qureshi,CEO/Director,51
9187279-7,36302-7991187-9,Muhammad Umar Gondal,CEO/Director,75
3367381-2,33100-0100908-0,Sobia Abbasi,CEO/Director,100
8498283-1,35202-6719250-2,Sidra Raja,CEO/Director,75
3144780-8,33100-5997959-7,Farhan Raja,CEO/Director,100
1235833-6,34101-3741342-3,Muhammad Umar Sheikh,CEO/Director,75
9483298-6,35202-6286423-9,Umar Khan,CEO/Director,60
1575862-7,35202-6526600-3,Muhammad Sandhu,CEO/Director,60
4052149-5,37405-4772071-6,Hira Cheema,CEO/Director,60
1500134-3,34603-4670946-5,Muhammad Usman Mir,CEO/Director,60
7460750-9,37405-3451810-7,Muhammad Farhan Awan,CEO/Director,51
2257458-1,34101-3346778-3,Rizwan Satti,CEO/Director,60
8118092-0,37405-6014201-5,Muhammad Hussain Sandhu,CEO/Director,51
8910159-9,37405-6042546-6,Hira Rana,CEO/Director,60
4323909-4,42101-3426823-5,Farhan Butt,CEO/Director,60
7962247-7,35202-5937330-1,Muhammad Hussain Bhatti,CEO/Director,100
5167501-6,36302-7048247-3,Adnan Malik,CEO/Director,75
5906928-9,35202-0317482-0,Fatima Chaudhry,CEO/Director,75
7994634-9,36302-3068374-3,Muhammad Saad Satti,CEO/Director,60
7157861-9,34603-2035073-1,Farhan Bhatti,CEO/Director,60
1840261-1,42101-2076074-1,Asad Sandhu,CEO/Director,100
2045442-8,42101-1537475-0,Amna Khan,CEO/Director,100
6525476-2,42101-4884192-5,Farhan Awan,CEO/Director,100
2645795-6,34101-3593847-1,Kamran Awan,CEO/Director,75
9266237-5,36302-4133349-5,Muhammad Usman Qureshi,CEO/Director,75
9815691-8,42101-1196328-2,Maryam Sheikh,CEO/Director,100
1946452-7,34603-0029981-6,Zainab Mughal,CEO/Director,75
3455548-9,42101-4501198-0,Kiran Awan,CEO/Director,60
4085213-7,36302-4302418-1,Ali Mir,CEO/Director,51
1921069-0,36302-9523823-2,Fatima Awan,CEO/Director,51
9691513-1,42101-1715287-3,Usman Satti,CEO/Director,100
3048510-1,33100-8032521-3,Zain Janjua,CEO/Director,60
4503976-1,42101-6897387-0,Hira Rana,CEO/Director,100
3244235-5,36302-9058214-4,Sobia Sandhu,CEO/Director,100
6489325-3,61101-0586418-4,Maryam Dar,CEO/Director,51
7791148-9,17301-3432900-1,Muhammad Abdullah Mughal,CEO/Director,51
5878052-9,33100-7374998-5,Muhammad Saad Warraich,CEO/Director,75
8821494-9,37405-9765696-9,Muhammad Cheema,CEO/Director,75
9668660-9,33100-8828493-7,Bilal Sandhu,CEO/Director,51
3976807-9,36302-8786858-2,Sidra Dar,CEO/Director,75
5206258-0,61101-3656502-9,Muhammad Fahad Dar,CEO/Director,51
1205873-7,17301-1836113-7,Muhammad Saad Rana,CEO/Director,100
8003709-2,37405-5747553-1,Muhammad Adnan Cheema,CEO/Director,60
2267637-2,34101-5640116-7,Muhammad Bilawal Butt,CEO/Director,100
4806710-7,35202-1288860-9,Danish Tarar,CEO/Director,100
9667236-3,42101-1487666-7,Hussain Awan,CEO/Director,60
4831703-2,34101-3136453-4,Maryam Chaudhry,CEO/Director,75
1322328-7,17301-4225737-8,Nimra Butt,CEO/Director,75
2665375-5,42101-0435973-7,Tariq Gondal,CEO/Director,75
8757466-5,37405-9012797-5,Muhammad Saad Khan,CEO/Director,75
7246014-2,42101-4295302-3,Muhammad Saad Rana,CEO/Director,75
3244809-1,35202-5142182-6,Areeba Butt,CEO/Director,51
5196396-6,17301-1391051-7,Muhammad Umar Mir,CEO/Director,60
4956896-0,61101-5121716-9,Muhammad Ali Khan,CEO/Director,75
6630438-9,37405-0565892-5,Farhan Chaudhry,CEO/Director,51
4516354-3,36302-0299850-3,Muhammad Rizwan Abbasi,CEO/Director,51
3321664-9,33100-4125104-3,Salman Bhatti,CEO/Director,75
5758153-0,36302-7623957-7,Ali Gondal,CEO/Director,100
9185662-8,37405-2085300-8,Rabia Cheema,CEO/Director,60
7869972-3,33100-2343604-7,Shahzad Bhatti,CEO/Director,75
3040388-7,33100-9395516-7,Danish Sandhu,CEO/Director,100
5113112-5,35202-4044412-8,Aqsa Mir,CEO/Director,60
8152674-5,35202-4747258-3,Hamza Sheikh,CEO/Director,60
1284814-5,33100-4667238-3,Farhan Qureshi,CEO/Director,75
6427731-0,34603-2999826-9,Muhammad Adnan Chaudhry,CEO/Director,100
9908835-9,33100-9649912-1,Muhammad Waqas Bhatti,CEO/Director,75
9241324-3,34603-7728810-1,Bilal Khan,CEO/Director,100
2613171-1,42101-4195299-9,Nauman Malik,CEO/Director,60
8466771-0,37405-8101470-5,Adnan Mughal,CEO/Director,100
7195739-5,61101-9537408-9,Muhammad Mughal,CEO/Director,60
7353947-3,42101-5383102-5,Muhammad Tarar,CEO/Director,60
5314709-6,35202-6293976-1,Adnan Mir,CEO/Director,75
3992305-3,37405-0248911-5,Adnan Sandhu,CEO/Director,60
5854894-2,34101-7737341-9,Muhammad Abdullah Khan,CEO/Director,51
4957605-2,36302-3534837-0,Saba Tarar,CEO/Director,100
4396894-3,33100-2138232-1,Junaid Cheema,CEO/Director,60
1878609-0,37405-0390054-4,Fatima Mughal,CEO/Director,60
6485685-6,61101-2324178-8,Maryam Cheema,CEO/Director,51
4557852-4,34603-1253668-1,Tariq Raja,CEO/Director,60
9058926-9,37405-3814414-5,Muhammad Salman Malik,CEO/Director,60
7700521-4,35202-5138454-1,Adnan Butt,CEO/Director,51
3902313-5,34101-3943032-6,Nimra Qureshi,CEO/Director,75
1053408-6,34603-6684982-5,Muhammad Bilal Warraich,CEO/Director,51
8624273-3,36302-0853074-8,Zainab Qureshi,CEO/Director,60
1615477-3,61101-0788791-1,Hussain Rana,CEO/Director,60
3323035-2,42101-1148528-5,Muhammad Bilal Gondal,CEO/Director,60
2515029-1,33100-0777315-5,Muhammad Salman Tarar,CEO/Director,51
8256747-5,42101-2208081-8,Iqra Janjua,CEO/Director,60
1697510-0,42101-6479799-9,Muhammad Fahad Dar,CEO/Director,60
4983313-2,36302-7000144-1,Imran Sandhu,CEO/Director,100
3244352-2,34603-0292351-4,Komal Mir,CEO/Director,75
2319985-2,36302-9785709-0,Sobia Mughal,CEO/Director,75
1044461-3,37405-0383472-7,Muhammad Ali Sandhu,CEO/Director,60
1805849-8,33100-0418091-1,Waqas Dar,CEO/Director,60
7501214-9,17301-0172231-3,Muhammad Shahzad Dar,CEO/Director,60
8054974-4,34101-1709458-9,Muhammad Hassan Butt,CEO/Director,100
8996856-2,34603-7169766-9,Muhammad Zain Butt,CEO/Director,60
3528250-4,61101-1927636-7,Kamran Qureshi,CEO/Director,100
4606141-8,61101-4495554-5,Nauman Rana,CEO/Director,100
8849412-1,35202-3004303-3,Fahad Gondal,CEO/Director,75
9782804-6,17301-5606749-5,Adnan Qureshi,CEO/Director,100
1677909-1,42101-2879922-3,Hassan Malik,CEO/Director,100
6097807-3,36302-9644528-7,Muhammad Nauman Satti,CEO/Director,75
1997140-4,33100-7955013-3,Ahmed Rana,CEO/Director,100
7741581-0,33100-5163184-8,Kiran Sandhu,CEO/Director,60
8027102-9,33100-7747812-3,Muhammad Usman Gondal,CEO/Director,60
6753772-5,17301-3700581-6,Rabia Malik,CEO/Director,60
5195098-1,34101-8419390-3,Muhammad Bilal Gondal,CEO/Director,51
4545177-3,37405-2004113-1,Tariq Dar,CEO/Director,100
1883809-6,36302-3466577-9,Junaid Mughal,CEO/Director,75
6259561-3,33100-9675125-1,Muhammad Ahmed Warraich,CEO/Director,75
7458536-8,34603-7458533-5,Ahmed Sandhu,CEO/Director,60
5018244-2,34603-1366002-2,Hina Rana,CEO/Director,100
6525504-4,34101-5019737-2,Sidra Cheema,CEO/Director,51
8122116-4,17301-5424386-7,Muhammad Shahzad Sandhu,CEO/Director,51
5020403-6,34603-0479380-1,Asad Warraich,CEO/Director,75
6793338-8,42101-1159423-6,Zainab Malik,CEO/Director,60
8427312-7,36302-2355993-0,Sana Malik,CEO/Director,100
3809139-0,34603-5929948-1,Faizan Awan,CEO/Director,100
4367405-7,34101-8991354-1,Faizan Rana,CEO/Director,60
9889879-4,37405-3233727-9,Muhammad Umar Tarar,CEO/Director,75
8586071-5,34603-3191873-1,Muhammad Umar Butt,CEO/Director,100
6475089-1,35202-0490234-3,Muhammad Fahad Dar,CEO/Director,60
9917209-9,35202-4379131-7,Asad Butt,CEO/Director,75
4009564-2,37405-1473063-6,Rabia Malik,CEO/Director,100
3626775-6,34101-7650000-1,Abdullah Khan,CEO/Director,60
3887141-7,37405-3889106-8,Nimra Butt,CEO/Director,75
5144351-2,34101-6294672-4,Hina Gondal,CEO/Director,100
2873597-5,17301-0560594-1,Muhammad Adnan Bhatti,CEO/Director,60
9676075-3,35202-4052443-4,Noor Sheikh,CEO/Director,51
5163767-3,34101-3407752-1,Muhammad Asad Rana,CEO/Director,60
7886615-9,34603-0114142-5,Muhammad Tariq Butt,CEO/Director,75
3055997-1,35202-9489466-5,Muhammad Junaid Gondal,CEO/Director,100
6354126-6,17301-0835994-7,Umar Mughal,CEO/Director,51
4376853-4,17301-9193678-7,Usman Mughal,CEO/Director,60
3807820-7,42101-0366759-1,Rizwan Sandhu,CEO/Director,100
1816440-0,17301-9712336-0,Hina Gondal,CEO/Director,75
7296703-9,17301-9143071-3,Tariq Butt,CEO/Director,100
2849977-6,36302-7425034-3,Umar Raja,CEO/Director,60
6222818-2,34603-2379347-5,Ahmed Warraich,CEO/Director,100
9766284-0,17301-7207425-1,Muhammad Zain Chaudhry,CEO/Director,60
7470932-9,33100-7373150-3,Muhammad Farhan Mir,CEO/Director,75
6294302-8,34603-1683349-8,Fatima Cheema,CEO/Director,75
6210208-9,36302-8145675-3,Muhammad Waqas Rana,CEO/Director,100
2283237-2,17301-6246115-9,Muhammad Bilal Malik,CEO/Director,100
4510407-8,35202-3374865-6,Sana Butt,CEO/Director,100
7920599-2,36302-5942127-1,Abdullah Cheema,CEO/Director,51
2892031-2,34101-1682319-9,Muhammad Hussain Gondal,CEO/Director,100
1323402-5,36302-3029487-9,Muhammad Ali Khan,CEO/Director,100
5882091-1,35202-9499318-5,Muhammad Usman Awan,CEO/Director,75
9198847-4,61101-9440244-9,Ahmed Chaudhry,CEO/Director,51
6292721-2,34101-1504316-2,Noor Sheikh,CEO/Director,60
6236250-1,34603-3833725-5,Ali Chaudhry,CEO/Director,60
9349070-4,34603-6845325-9,Hussain Tarar,CEO/Director,51
9254128-6,37405-8986786-5,Ahmed Bhatti,CEO/Director,60
9791682-0,34101-7863190-2,Sadia Qureshi,CEO/Director,51
3438775-9,37405-0648623-5,Umar Mughal,CEO/Director,75
3435643-7,37405-4359296-8,Noor Mir,CEO/Director,100
1231794-9,42101-0920077-1,Nauman Satti,CEO/Director,75
2674280-5,61101-2939062-2,Zainab Butt,CEO/Director,75
5185170-7,34603-1882871-3,Muhammad Danish Mughal,CEO/Director,60
5244387-7,37405-9706757-7,Danish Mir,CEO/Director,100
2911900-8,36302-2862758-5,Kamran Mughal,CEO/Director,75
2281426-3,36302-1089892-5,Farhan Tarar,CEO/Director,51
5185106-1,34603-9821319-7,Muhammad Junaid Cheema,CEO/Director,75
2661949-1,17301-7349319-7,Muhammad Ahmed Abbasi,CEO/Director,100
3727035-7,37405-3732035-7,Adnan Butt,CEO/Director,100
9950080-9,36302-2711061-9,Farhan Chaudhry,CEO/Director,60
5815005-3,42101-6160138-5,Muhammad Usman Rana,CEO/Director,75
9140528-1,42101-1470918-1,Ali Sandhu,CEO/Director,100
2730119-7,17301-3317623-3,Hamza Satti,CEO/Director,100
4865918-2,34101-2728405-2,Zainab Rana,CEO/Director,75
2705682-2,37405-7068721-1,Umar Dar,CEO/Director,75
3394984-9,35202-5977688-0,Nimra Bhatti,CEO/Director,60
6255160-2,17301-1093316-1,Faizan Awan,CEO/Director,100
9130793-7,33100-4428723-7,Muhammad Rizwan Abbasi,CEO/Director,51
1791809-2,34101-7589774-4,Hira Mughal,CEO/Director,100
8184233-3,35202-6242302-5,Muhammad Ahmed Awan,CEO/Director,75
5061293-1,61101-2802209-8,Saba Mir,CEO/Director,60
7185212-2,37405-2979195-1,Fahad Warraich,CEO/Director,75
9111471-0,36302-4137247-9,Muhammad Junaid Awan,CEO/Director,60
8754454-8,37405-6684797-7,Junaid Sheikh,CEO/Director,51
3297959-3,35202-0778079-3,Faizan Sheikh,CEO/Director,100
5202320-6,35202-0122161-1,Nauman Mughal,CEO/Director,60
9026867-7,33100-1579411-1,Hassan Janjua,CEO/Director,75
1154720-3,34603-1807300-1,Muhammad Kamran Mughal,CEO/Director,100
8583484-4,36302-0877397-1,Muhammad Hussain Rana,CEO/Director,51
5233585-9,61101-0894979-1,Muhammad Tariq Malik,CEO/Director,75
1427389-6,34603-7772549-9,Hamza Janjua,CEO/Director,60
2201900-9,34603-6355244-5,Abdullah Malik,CEO/Director,100
4557255-7,61101-4465928-7,Muhammad Hussain Gondal,CEO/Director,60
9790619-3,34603-8845358-8,Mehwish Bhatti,CEO/Director,75
2845484-5,61101-3546426-9,Tariq Raja,CEO/Director,100
4791850-3,37405-1025373-9,Muhammad Umar Malik,CEO/Director,60
6305409-9,37405-4955219-9,Muhammad Gondal,CEO/Director,60
6750672-9,34603-8724280-8,Rabia Janjua,CEO/Director,75
7458137-2,35202-2359393-1,Muhammad Farhan Janjua,CEO/Director,60
2850033-2,34101-2026392-1,Danish Chaudhry,CEO/Director,51
1430662-2,17301-4192174-8,Areeba Awan,CEO/Director,51
2140408-9,33100-5373451-2,Kiran Janjua,CEO/Director,100
8128754-2,17301-4841846-5,Muhammad Satti,CEO/Director,100
6264339-2,61101-8302590-7,Muhammad Hamza Mughal,CEO/Director,75
5475085-6,36302-5836199-9,Danish Raja,CEO/Director,75
6269992-4,34603-4978193-4,Sana Chaudhry,CEO/Director,100
8196996-9,37405-2001534-0,Sobia Satti,CEO/Director,75
2363553-3,33100-3086503-3,Abdullah Rana,CEO/Director,75
1600975-4,35202-7246081-7,Muhammad Adnan Khan,CEO/Director,75
2337721-5,61101-3060207-2,Nimra Abbasi,CEO/Director,60
1469318-7,36302-3769896-9,Hamza Chaudhry,CEO/Director,60
4043820-6,33100-5025603-5,Muhammad Rizwan Cheema,CEO/Director,100
1007343-6,61101-1925008-3,Shahzad Mughal,CEO/Director,75
3015832-9,34603-2734305-7,Muhammad Shahzad Chaudhry,CEO/Director,75
6532806-8,35202-0138702-7,Adnan Malik,CEO/Director,51
5574151-3,34603-4109944-2,Aqsa Awan,CEO/Director,75
2416255-9,34101-6396817-9,Waqas Mughal,CEO/Director,60
9897404-2,36302-6648450-5,Bilal Janjua,CEO/Director,51
9478786-5,61101-7061819-1,Muhammad Ali Awan,CEO/Director,51
5275707-1,33100-3166187-9,Usman Abbasi,CEO/Director,100
5965622-3,42101-0880033-9,Hussain Abbasi,CEO/Director,60
3088989-5,61101-4684364-3,Muhammad Fahad Chaudhry,CEO/Director,75
9442687-6,36302-6880392-5,Fahad Tarar,CEO/Director,75
9520916-4,37405-5624225-9,Salman Abbasi,CEO/Director,75
5356131-5,34603-9163441-9,Hamza Dar,CEO/Director,75
3919300-3,61101-4555365-9,Nauman Sheikh,CEO/Director,51
2891089-8,37405-5699454-9,Muhammad Junaid Butt,CEO/Director,75
6345078-4,34101-9443613-3,Adnan Sandhu,CEO/Director,100
1687655-7,17301-2487523-1,Rizwan Raja,CEO/Director,60
1266121-3,33100-7259282-9,Muhammad Saad Raja,CEO/Director,100
4725176-9,34603-6036168-3,Muhammad Imran Bhatti,CEO/Director,60
3268904-1,42101-6845516-9,Asad Bhatti,CEO/Director,60
1929311-1,33100-4315328-1,Muhammad Bilawal Mughal,CEO/Director,100
9350662-8,34101-7474136-6,Nimra Sandhu,CEO/Director,60
6605415-9,33100-8419862-3,Saad Qureshi,CEO/Director,100
8444008-8,61101-2305967-9,Muhammad Nauman Cheema,CEO/Director,60
5512791-7,36302-5403169-7,Abdullah Rana,CEO/Director,60
5605544-8,61101-7950243-3,Muhammad Kamran Dar,CEO/Director,51
2814115-7,34101-4093738-7,Asad Chaudhry,CEO/Director,75
9062458-8,61101-8575509-7,Faizan Khan,CEO/Director,100
8330850-6,17301-9134904-3,Farhan Satti,CEO/Director,100
4715976-0,17301-5182393-7,Zain Satti,CEO/Director,75
8052776-0,42101-1934656-9,Shahzad Tarar,CEO/Director,60
3124765-2,61101-1292856-1,Abdullah Butt,CEO/Director,60
4136162-7,33100-6107304-3,Zain Warraich,CEO/Director,60
5271407-3,61101-1077416-5,Bilal Mir,CEO/Director,75
1580806-6,33100-0611698-9,Waqas Dar,CEO/Director,100
5662703-4,34603-6236594-1,Imran Khan,CEO/Director,60
3955980-9,61101-1295154-6,Iqra Warraich,CEO/Director,51
9537060-5,34101-6183840-7,Muhammad Faizan Dar,CEO/Director,100
1641595-3,37405-6158351-3,Bilawal Bhatti,CEO/Director,51
3699453-0,42101-6750881-7,Bilawal Mir,CEO/Director,51
2557499-3,36302-6835732-4,Nimra Abbasi,CEO/Director,75
4018211-9,33100-3448203-3,Muhammad Tariq Satti,CEO/Director,51
8415515-1,34603-3091809-5,Muhammad Faizan Gondal,CEO/Director,60
3844501-9,42101-9262587-9,Fahad Gondal,CEO/Director,51
5660664-7,35202-2504039-5,Muhammad Saad Rana,CEO/Director,100
1760614-5,36302-1081342-9,Zain Tarar,CEO/Director,75
2015742-9,36302-0412502-5,Muhammad Kamran Sheikh,CEO/Director,100
3074770-8,42101-6804114-2,Sana Mughal,CEO/Director,100
5932783-1,17301-7732692-0,Nimra Sandhu,CEO/Director,75
1351575-1,37405-7399548-0,Aqsa Raja,CEO/Director,100
5797628-5,37405-4931913-9,Usman Butt,CEO/Director,60
3062135-0,34603-9292425-9,Muhammad Shahzad Rana,CEO/Director,51
6496801-2,34101-0706964-5,Muhammad Fahad Butt,CEO/Director,100
9291522-6,34603-7661324-1,Muhammad Hussain Dar,CEO/Director,60
9127761-7,34603-1054442-5,Faizan Warraich,CEO/Director,60
8222850-1,42101-0838471-3,Muhammad Hassan Khan,CEO/Director,51
5286443-0,37405-2674580-5,Muhammad Nauman Tarar,CEO/Director,51
4294258-2,37405-8588684-0,Aqsa Sheikh,CEO/Director,75
7819479-0,36302-9590690-5,Muhammad Tariq Chaudhry,CEO/Director,100
4385220-8,42101-0752467-5,Hamza Gondal,CEO/Director,100
8784394-8,37405-0806027-3,Muhammad Imran Awan,CEO/Director,100
6311620-7,17301-8639485-5,Ahmed Qureshi,CEO/Director,100
1011884-0,42101-7307863-1,Rizwan Qureshi,CEO/Director,60
8605152-1,33100-2320505-9,Muhammad Rizwan Warraich,CEO/Director,100
5995437-3,17301-4940650-3,Bilawal Awan,CEO/Director,51
9743802-6,42101-5811601-9,Faizan Dar,CEO/Director,51
3923715-0,42101-0988124-1,Junaid Rana,CEO/Director,60
7076278-4,61101-8261639-1,Danish Qureshi,CEO/Director,60
4526025-6,17301-2436372-9,Muhammad Umar Abbasi,CEO/Director,75
8854939-4,33100-5807398-7,Salman Sheikh,CEO/Director,75
9551574-3,34101-0974706-7,Nauman Rana,CEO/Director,100
1321681-6,36302-4897442-4,Saba Abbasi,CEO/Director,51
9767855-8,36302-2063848-3,Nauman Gondal,CEO/Director,75
6561107-3,34101-1815293-7,Adnan Cheema,CEO/Director,75
2680354-0,34603-1045281-7,Zain Cheema,CEO/Director,51
5428281-5,37405-0170743-1,Muhammad Umar Warraich,CEO/Director,51
6072163-0,17301-8232808-5,Muhammad Junaid Cheema,CEO/Director,51
3198168-1,17301-0558271-3,Muhammad Imran Qureshi,CEO/Director,100
9951505-7,61101-5326432-7,Muhammad Bilawal Tarar,CEO/Director,60
8624455-4,17301-0366743-5,Muhammad Mughal,CEO/Director,60
9414431-3,17301-7020772-7,Asad Khan,CEO/Director,60
8486735-9,36302-8244106-1,Hassan Gondal,CEO/Director,100
3517835-9,35202-6333691-1,Danish Janjua,CEO/Director,51
9336249-6,37405-2746201-7,Muhammad Nauman Warraich,CEO/Director,75
9052364-8,36302-3338546-6,Saba Warraich,CEO/Director,60
1569491-6,33100-8179566-5,Ali Gondal,CEO/Director,51
9480177-8,37405-8091228-5,Muhammad Umar Mughal,CEO/Director,75
5033591-3,37405-6257183-7,Asad Bhatti,CEO/Director,100
6503014-6,36302-1687073-7,Waqas Warraich,CEO/Director,51
4291190-3,37405-2300191-8,Noor Rana,CEO/Director,75
9126254-0,61101-9222673-9,Muhammad Bilawal Dar,CEO/Director,51
4509478-6,42101-0899233-7,Rizwan Mughal,CEO/Director,60
4937912-8,17301-8124417-5,Imran Bhatti,CEO/Director,75
4109700-4,34101-9081807-5,Muhammad Hamza Abbasi,CEO/Director,75
6669371-2,61101-3167455-3,Muhammad Waqas Warraich,CEO/Director,100
9794378-0,34603-2912287-9,Muhammad Hassan Satti,CEO/Director,100
4516755-2,34101-6272331-5,Junaid Bhatti,CEO/Director,75
9769058-9,35202-4605117-1,Muhammad Ahmed Gondal,CEO/Director,60
1476075-0,17301-5669775-7,Muhammad Junaid Bhatti,CEO/Director,60
3167617-3,34603-2529634-3,Adnan Khan,CEO/Director,100
9199390-7,34603-9742091-1,Nauman Khan,CEO/Director,75
