account_number,iban,bank_name,branch_code,customer_cnic,customer_name,customer_address,account_type,account_balance,annual_turnover,mobile
17842902923345,PK41MEZN1100906053088684,Meezan Bank,1228,611012-6238692-3,Muhammad Abdullah Mughal,"House 635, Street 44, F-10, Islamabad",Current,9162100,50288870,0333-8710313
87884869996988,PK14ALFH2904579271472463,Bank Alfalah,2467,363026-4558122-3,Faizan Gondal,"House 425, Street 27, Shah Rukn-e-Alam, Multan",Savings,146313,868986,0312-1327691
60450063553730,PK38UNIL9649692771195296,UBL,6260,363027-0305486-8,Fatima Gondal,"House 196, Street 19, Shah Rukn-e-Alam, Multan",Current,1244339,2143939,0345-8330827
41813599898972,PK27MUCB1170889480186448,MCB,3633,374055-2814893-3,Danish Bhatti,"House 945, Street 34, Bahria Town, Rawalpindi",Current,193515744,683267527,0333-5017343
05826929900768,PK20MEZN6276332838963376,Meezan Bank,9284,363026-2054932-8,Saba Bhatti,"House 411, Street 43, Cantt, Multan",Savings,148068,645206,0312-4951390
47841715949734,PK20ABPA4930537880331836,Allied Bank,2124,352022-8547772-4,Hina Qureshi,"House 189, Street 59, Bahria Town, Lahore",Savings,1301036,3128570,0307-1813936
62342192622132,PK21MEZN0410429483147891,Meezan Bank,8717,374054-8267734-5,Fahad Awan,"House 588, Street 15, DHA-I, Rawalpindi",Savings,229345,804842,0302-1609681
53152049980949,PK47BPUN7698731379716698,Bank of Punjab,2672,611015-3164752-5,Muhammad Salman Cheema,"House 960, Street 44, F-7, Islamabad",Savings,386966,2161723,0333-4684531
72168800537893,PK27UNIL1869289728454018,UBL,3754,363024-6232858-9,Ali Raja,"House 967, Street 31, Shah Rukn-e-Alam, Multan",Savings,22091634,108093644,0302-4785186
91704542185457,PK90MUCB0568209225709001,MCB,7542,421011-8557444-3,Tariq Mughal,"House 549, Street 49, Bahadurabad, Karachi",Current,336228,1904406,0346-9801946
69029831043841,PK81SCBL9662291316708056,Standard Chartered,7038,421014-3515850-7,Muhammad Fahad Abbasi,"House 844, Street 30, Clifton, Karachi",Savings,18759726,99172460,0321-3112652
68616307028672,PK84BPUN0200953662195368,Bank of Punjab,1510,331003-5807836-1,Muhammad Farhan Rana,"House 357, Street 56, D Ground, Faisalabad",Current,47062,142378,0346-6882609
09720217075485,PK65MEZN3465579220300449,Meezan Bank,5987,331004-7192856-5,Nauman Mughal,"House 191, Street 32, Jaranwala Road, Faisalabad",Savings,72302,410679,0346-5791184
51282763643159,PK47FAYS4898959654663454,Faysal Bank,4627,374056-7758416-0,Kiran Raja,"House 106, Street 6, Chaklala Scheme 3, Rawalpindi",Savings,396971,1862057,0314-6897979
50342362203347,PK14UNIL4246310437968680,UBL,6141,173014-9578291-0,Ayesha Mughal,"House 539, Street 27, Gulbahar, Peshawar",Savings,1334584,6252938,0314-8815384
12573498992553,PK64SCBL9460742990747296,Standard Chartered,5989,363020-7072867-9,Fahad Cheema,"House 741, Street 2, Model Town, Multan",Current,14874976,73484081,0300-8108462
88143192797617,PK58ALFH8159698384572026,Bank Alfalah,7039,374059-3918785-0,Aqsa Sheikh,"House 925, Street 33, Satellite Town, Rawalpindi",Savings,3210518,18589010,0314-2950183
90835211896844,PK72BPUN2464884997957285,Bank of Punjab,6383,331000-2176591-8,Fatima Tarar,"House 709, Street 57, Jaranwala Road, Faisalabad",Savings,19095744,89652692,0346-1552000
31922760759889,PK13UNIL7865339431916543,UBL,9396,374054-7980893-2,Maryam Butt,"House 247, Street 37, Westridge, Rawalpindi",Savings,2188293,10422545,0331-9511546
68349604784217,PK10BPUN0285162259364882,Bank of Punjab,9233,363027-6311656-6,Sadia Satti,"House 662, Street 7, Cantt, Multan",Savings,1587155,9238342,0331-8526486
04702059685195,PK67FAYS3774926632956342,Faysal Bank,9159,173019-9825952-6,Areeba Abbasi,"House 849, Street 33, Gulbahar, Peshawar",Savings,286639,841308,0307-2838859
58522942525161,PK21ABPA8575917105080549,Allied Bank,5232,173015-4458771-7,Asad Tarar,"House 47, Street 37, University Town, Peshawar",Savings,343740,1218037,0321-6534221
87882815278730,PK71ASCM4862515217465353,Askari Bank,9386,173019-1203875-1,Muhammad Kamran Tarar,"House 7, Street 35, Gulbahar, Peshawar",Current,1164285,2278357,0322-8223819
47230342028471,PK23UNIL9017222405076487,UBL,8803,363027-6471027-7,Shahzad Satti,"House 148, Street 21, Shah Rukn-e-Alam, Multan",Savings,110723,483004,0331-2781470
49812831800366,PK10SCBL6020005328538631,Standard Chartered,6271,173014-4004991-4,Sidra Chaudhry,"House 506, Street 57, University Town, Peshawar",Savings,2956052,5051477,0345-3726201
89178791505962,PK90ABPA5719760932012657,Allied Bank,9552,363025-4987769-5,Muhammad Kamran Janjua,"House 462, Street 16, Model Town, Multan",Savings,303081,1217114,0345-4050766
95074071732798,PK98MUCB0595031006493403,MCB,2941,421015-9972787-5,Muhammad Umar Gondal,"House 330, Street 56, DHA Phase 6, Karachi",Current,2867091,7880066,0312-1732280
62215599672562,PK48SCBL2219053347047476,Standard Chartered,9866,173013-6688263-5,Abdullah Malik,"House 461, Street 55, Cantt, Peshawar",Savings,216201,990482,0307-1663497
83334303115876,PK56FAYS0545769475769453,Faysal Bank,4930,363023-0494519-9,Muhammad Kamran Mir,"House 868, Street 7, Shah Rukn-e-Alam, Multan",Savings,1933577,6126025,0312-1440466
48839974185630,PK12ASCM2750003056619953,Askari Bank,6856,331008-0673830-3,Adnan Malik,"House 750, Street 37, Peoples Colony, Faisalabad",Savings,14068936,39639611,0302-9745141
94332562389949,PK79FAYS9197014262037087,Faysal Bank,3810,421016-0122691-7,Hussain Cheema,"House 567, Street 56, Clifton, Karachi",Current,170289,323651,0312-3653446
11640343988187,PK39ABPA3877583336477041,Allied Bank,1138,421015-2545738-6,Maryam Butt,"House 714, Street 29, Gulshan-e-Iqbal, Karachi",Savings,31153,48475,0307-2834801
39792551164369,PK53ABPA0283772702896660,Allied Bank,5085,331007-1939828-1,Muhammad Zain Dar,"House 852, Street 45, D Ground, Faisalabad",Savings,1802207,4139491,0333-5060441
87184523542687,PK67MUCB4470173208652377,MCB,3163,374055-6966416-1,Adnan Raja,"House 472, Street 54, Chaklala Scheme 3, Rawalpindi",Savings,5664249,19456050,0312-9790632
75809745338906,PK87MEZN2354662265401659,Meezan Bank,6685,331004-0598262-1,Muhammad Hassan Awan,"House 41, Street 58, Peoples Colony, Faisalabad",Current,156541239,886662931,0331-7817881
63975615470554,PK82MUCB9121516411955640,MCB,2496,374057-8347359-7,Salman Abbasi,"House 541, Street 27, Satellite Town, Rawalpindi",Savings,230392,1092987,0314-7227905
02217978912488,PK73ASCM3971705984451436,Askari Bank,3619,352028-6142939-7,Muhammad Warraich,"House 144, Street 51, Cantt, Lahore",Savings,2573961,15384853,0321-2275374
46951003076205,PK11ASCM4596715006666411,Askari Bank,7438,352027-0330923-3,Salman Malik,"House 477, Street 45, Model Town, Lahore",Savings,9542691,27157627,0301-1430812
43621300962588,PK61MEZN5766947031805339,Meezan Bank,3565,363021-2181960-1,Muhammad Qureshi,"House 28, Street 36, Gulgasht Colony, Multan",Savings,2625892,14833300,0333-1109031
45881650254472,PK71HABB4191650344096617,HBL,2070,173018-8723430-8,Nimra Mir,"House 52, Street 38, Gulbahar, Peshawar",Savings,199164,412368,0301-4117625
99393449743946,PK83MEZN4088223095862973,Meezan Bank,9735,374050-6401658-3,Danish Mughal,"House 449, Street 3, Satellite Town, Rawalpindi",Savings,908820,4514487,0346-1543335
19865504944407,PK34HABB6634933965049627,HBL,3121,421018-1775891-7,Hussain Janjua,"House 803, Street 59, Bahadurabad, Karachi",Current,220888,714358,0312-8151684
07740657955156,PK23MUCB2392090855107409,MCB,4826,331001-6717565-4,Iqra Chaudhry,"House 508, Street 19, Jaranwala Road, Faisalabad",Current,303216,1752494,0333-6423634
61634212545080,PK48MEZN9594815269255966,Meezan Bank,8318,331000-5022961-3,Muhammad Gondal,"House 386, Street 27, Jaranwala Road, Faisalabad",Current,2021766,4059276,0346-2425342
14261404893326,PK92MEZN1454307963731008,Meezan Bank,2998,352020-3432445-0,Komal Malik,"House 133, Street 25, Bahria Town, Lahore",Savings,91674,525352,0322-1709714
59067000994248,PK65UNIL9420466489667605,UBL,5294,421014-4935348-7,Hassan Awan,"House 850, Street 18, Clifton, Karachi",Current,2829629,4427231,0314-8175395
28170744360234,PK95SCBL4225216025239412,Standard Chartered,1278,331007-7518636-3,Bilawal Cheema,"House 346, Street 36, Madina Town, Faisalabad",Savings,6723177,18301747,0307-8710502
39062467287991,PK23MEZN6091141319359236,Meezan Bank,4811,352021-3178108-0,Hira Bhatti,"House 493, Street 14, Wapda Town, Lahore",Current,300295,1092472,0312-5449368
76610089876108,PK16HABB1435614038453198,HBL,8906,374055-7204653-7,Ali Awan,"House 285, Street 49, Westridge, Rawalpindi",Savings,20516136,69654963,0300-6871360
91832700046661,PK84SCBL4590110797714004,Standard Chartered,4865,173019-3511615-5,Fahad Bhatti,"House 550, Street 8, Gulbahar, Peshawar",Savings,1024588,5079115,0322-2166941
18167784816524,PK67ABPA4454460838517993,Allied Bank,2755,374058-2788957-9,Muhammad Junaid Butt,"House 163, Street 48, Westridge, Rawalpindi",Current,180213,790782,0331-9130188
78516994970890,PK30UNIL5836683482689996,UBL,7363,421015-9314919-0,Kiran Sheikh,"House 71, Street 33, Bahadurabad, Karachi",Savings,1342860,4788652,0345-8713146
50928605210262,PK23BPUN7066489008248458,Bank of Punjab,4628,331003-0478686-3,Danish Khan,"House 194, Street 60, D Ground, Faisalabad",Current,299814,1200236,0301-2692765
21383507124553,PK30BPUN1290036221173277,Bank of Punjab,7973,173013-8373540-3,Usman Warraich,"House 491, Street 59, University Town, Peshawar",Savings,112579104,440445782,0331-6395804
48232204144743,PK45HABB2811659930202030,HBL,3445,173019-6048175-4,Aqsa Mughal,"House 111, Street 44, University Town, Peshawar",Current,10172308,54276270,0321-2060605
38821764846735,PK54SCBL7422332228019442,Standard Chartered,3527,352029-9255466-4,Noor Janjua,"House 343, Street 5, Model Town, Lahore",Savings,1885709,9750229,0307-3522845
01975358464051,PK75MEZN0388027304276362,Meezan Bank,2678,421018-7979688-7,Fahad Dar,"House 719, Street 58, North Nazimabad, Karachi",Savings,45546962,198216736,0307-6956059
95309690676490,PK68FAYS9228849874551358,Faysal Bank,3224,352028-5610143-9,Farhan Tarar,"House 475, Street 50, Cantt, Lahore",Savings,80848,166125,0314-2754047
09271152610537,PK74HABB0923007169500741,HBL,6116,374051-9909133-5,Bilawal Mir,"House 77, Street 11, Bahria Town, Rawalpindi",Savings,67954,319464,0321-5833597
29957047264261,PK16FAYS2120384375365968,Faysal Bank,8556,611011-8356159-4,Ayesha Janjua,"House 419, Street 21, G-11, Islamabad",Savings,312987,962934,0312-3919694
23839728339121,PK25SCBL8706293288098322,Standard Chartered,1733,173013-4668893-6,Sidra Khan,"House 399, Street 22, Gulbahar, Peshawar",Current,1459620,2287316,0331-1452421
17741743043502,PK35MEZN3850228946652752,Meezan Bank,4293,363022-9226801-9,Hussain Rana,"House 958, Street 46, Gulgasht Colony, Multan",Current,219978,845026,0307-5604524
79412248709872,PK98ASCM6496322517422404,Askari Bank,4505,173017-6887676-7,Muhammad Sheikh,"House 815, Street 49, University Town, Peshawar",Current,715761,2423904,0314-9309978
02191505764497,PK48ALFH4700026876448676,Bank Alfalah,8337,173011-6540515-3,Asad Malik,"House 560, Street 22, University Town, Peshawar",Savings,115257,406352,0302-2058651
67908701872600,PK71BPUN1365103444429906,Bank of Punjab,5493,352026-8926870-4,Nimra Bhatti,"House 419, Street 10, Model Town, Lahore",Savings,2238258,6811575,0321-6045519
32590073971307,PK25ALFH2211386908716722,Bank Alfalah,1408,173018-3309584-8,Hira Sandhu,"House 300, Street 19, Cantt, Peshawar",Savings,157857518,461411225,0312-1994652
56913303033467,PK17ABPA7116750762799553,Allied Bank,3843,352029-2992299-5,Waqas Janjua,"House 972, Street 42, Wapda Town, Lahore",Savings,24885,109192,0300-9355692
94118491359928,PK83HABB5535952056100679,HBL,1213,421017-2702895-0,Kiran Dar,"House 16, Street 47, DHA Phase 6, Karachi",Savings,4530321,7187341,0333-6680114
76433872205422,PK48FAYS1626549633083344,Faysal Bank,8255,421015-8499121-7,Muhammad Ali Abbasi,"House 774, Street 10, DHA Phase 6, Karachi",Current,8888899,25522692,0322-6587495
77403784233944,PK11ASCM9530067762550325,Askari Bank,2194,331001-5865780-8,Saba Cheema,"House 295, Street 15, D Ground, Faisalabad",Savings,709068,1741701,0333-1485654
76989365294471,PK29ABPA6198273481310450,Allied Bank,6763,363022-3493618-3,Fahad Cheema,"House 170, Street 51, Shah Rukn-e-Alam, Multan",Savings,358616,1609448,0322-6101803
35302816506463,PK19FAYS0059377756919832,Faysal Bank,1375,363023-1200471-0,Nimra Tarar,"House 380, Street 43, Model Town, Multan",Savings,281109,626464,0314-7847048
05326011939103,PK78ALFH8297425513609085,Bank Alfalah,2655,611014-8398262-3,Muhammad Kamran Cheema,"House 65, Street 11, G-11, Islamabad",Savings,2658469,12567393,0321-9318184
03265513276179,PK83FAYS4802455985160211,Faysal Bank,2809,611014-6324241-5,Muhammad Bilawal Abbasi,"House 665, Street 11, F-6, Islamabad",Savings,1156210,6703557,0322-2596917
89747485994641,PK78SCBL8398416734785369,Standard Chartered,9736,421017-0462265-7,Junaid Cheema,"House 988, Street 43, North Nazimabad, Karachi",Current,273981,1640485,0331-7594429
13684101328233,PK71ASCM9218835279187506,Askari Bank,9077,374056-4530174-3,Muhammad Zain Warraich,"House 707, Street 8, Chaklala Scheme 3, Rawalpindi",Savings,1142530,2202082,0314-7268384
72031369552862,PK91ABPA0929735259533222,Allied Bank,8253,352021-9799552-6,Noor Warraich,"House 816, Street 18, Bahria Town, Lahore",Current,2619150,12170921,0300-1954456
09521755851777,PK85SCBL4127469211882419,Standard Chartered,7599,374056-9480831-3,Imran Raja,"House 708, Street 31, Westridge, Rawalpindi",Current,1669723,5778645,0322-5081983
24065838727258,PK72MEZN1225909566844823,Meezan Bank,5081,421012-2104696-3,Muhammad Adnan Abbasi,"House 195, Street 49, DHA Phase 6, Karachi",Savings,844054,1978731,0301-7597509
85681193978145,PK64MUCB9009921779055286,MCB,4403,363021-1047541-2,Rabia Mughal,"House 569, Street 33, Model Town, Multan",Current,134104,697878,0345-7463219
73615873662713,PK21ALFH5896933539005856,Bank Alfalah,7008,331009-6596575-7,Muhammad Adnan Gondal,"House 971, Street 45, Madina Town, Faisalabad",Savings,51979,301494,0322-9237735
68764019185488,PK50ALFH0644200629877873,Bank Alfalah,9532,331007-8434437-4,Amna Qureshi,"House 815, Street 47, Peoples Colony, Faisalabad",Savings,17610949,87908974,0312-6790398
45735323661850,PK58ASCM7610870826971823,Askari Bank,1632,421019-9867980-7,Ali Cheema,"House 514, Street 10, Clifton, Karachi",Current,2949816,4612679,0302-1656695
70409531419615,PK84ASCM6078327488356517,Askari Bank,7523,374050-1509839-2,Zainab Qureshi,"House 235, Street 5, Bahria Town, Rawalpindi",Current,2343468,6603481,0321-3219824
