cnic,name_en,name_ur,father_husband_name,gender,dob,date_of_issue,date_of_expiry,present_address,permanent_address,place_of_birth,marital_status,religion,mobile,family_tree_id
611019-9399091-7,Nauman Dar,Nauman Dar,Hassan Dar,M,2001-11-25,2018-07-19,2028-07-19,"House 210, Street 43, G-10, Islamabad","House 272, Street 26, Gulberg III, Lahore",Islamabad,Married,Islam,0301-1156287,FT-1003
374058-2513542-7,Ali Janjua,علی Janjua,Faizan Janjua,M,1982-02-20,2021-11-10,2031-11-10,"House 827, Street 42, DHA-I, Rawalpindi","House 684, Street 53, Bahria Town, Islamabad",Rawalpindi,Married,Islam,0301-3253031,FT-1004
421014-4935348-7,Hassan Awan,حسن اعوان,Faizan Awan,M,1959-07-23,2016-01-14,2026-01-14,"House 850, Street 18, Clifton, Karachi","House 342, Street 50, F-8, Islamabad",Karachi,Married,Islam,0314-8175395,FT-1004
331004-0598262-1,Muhammad Hassan Awan,محمد حسن اعوان,Junaid Awan,M,1987-09-18,2023-12-05,2033-12-05,"House 41, Street 58, Peoples Colony, Faisalabad","House 699, Street 16, Cantt, Lahore",Faisalabad,Single,Islam,0331-7817881,FT-1004
331006-0256342-1,Hamza Chaudhry,حمزہ چوہدری,Kamran Chaudhry,M,1958-06-22,2020-04-11,2030-04-11,"House 837, Street 59, Jaranwala Road, Faisalabad","House 313, Street 53, DHA Phase 6, Karachi",Faisalabad,Married,Islam,0321-7685149,FT-1005
421019-8685014-3,Muhammad Bilawal Bhatti,محمد Bilawal Bhatti,Imran Bhatti,M,1978-10-25,2015-06-06,2025-06-06,"House 445, Street 23, Bahadurabad, Karachi","House 322, Street 28, Hayatabad, Peshawar",Karachi,Married,Islam,0321-5273534,FT-1005
611011-8356159-4,Ayesha Janjua,عائشہ Janjua,Abdullah Janjua,F,1981-12-10,2020-09-08,2030-09-08,"House 419, Street 21, G-11, Islamabad","House 303, Street 36, Gulgasht Colony, Multan",Islamabad,Married,Islam,0312-3919694,FT-1005
331007-4369957-7,Asad Khan,اسد خان,Saad Khan,M,1974-03-04,2020-09-24,2030-09-24,"House 923, Street 51, Madina Town, Faisalabad","House 87, Street 19, Shah Rukn-e-Alam, Multan",Faisalabad,Single,Islam,0321-6207974,FT-1006
352026-9176936-7,Muhammad Hussain Qureshi,محمد حسین قریشی,Tariq Qureshi,M,1976-11-20,2016-08-27,2026-08-27,"House 6, Street 58, Wapda Town, Lahore","House 789, Street 57, Hayatabad, Peshawar",Lahore,Married,Islam,0322-9689889,FT-1006
374058-2788957-9,Muhammad Junaid Butt,محمد Junaid بٹ,Adnan Butt,M,1993-04-14,2021-02-22,2031-02-22,"House 163, Street 48, Westridge, Rawalpindi","House 266, Street 49, Satellite Town, Rawalpindi",Rawalpindi,Married,Islam,0331-9130188,FT-1006
363026-4558122-3,Faizan Gondal,Faizan Gondal,Hamza Gondal,M,1968-09-16,2022-12-03,2032-12-03,"House 425, Street 27, Shah Rukn-e-Alam, Multan","House 478, Street 27, D Ground, Faisalabad",Multan,Married,Islam,0312-1327691,FT-1007
173013-4668893-6,Sidra Khan,Sidra خان,Imran Khan,F,1979-06-27,2019-11-21,2029-11-21,"House 399, Street 22, Gulbahar, Peshawar","House 170, Street 54, Model Town, Multan",Peshawar,Married,Christianity,0331-1452421,FT-1007
374055-7204653-7,Ali Awan,علی اعوان,Bilawal Awan,M,1985-04-12,2023-07-15,2033-07-15,"House 285, Street 49, Westridge, Rawalpindi","House 855, Street 6, PECHS, Karachi",Rawalpindi,Single,Islam,0300-6871360,FT-1007
352027-0330923-3,Salman Malik,Salman ملک,Salman Malik,M,1965-04-06,2021-04-29,2031-04-29,"House 477, Street 45, Model Town, Lahore","House 378, Street 11, Hayatabad, Peshawar",Lahore,Married,Christianity,0301-1430812,FT-1008
421015-9314919-0,Kiran Sheikh,Kiran شیخ,Ali Sheikh,F,2002-10-17,2019-10-21,2029-10-21,"House 71, Street 33, Bahadurabad, Karachi","House 13, Street 55, PECHS, Karachi",Karachi,Married,Islam,0345-8713146,FT-1008
363025-4987769-5,Muhammad Kamran Janjua,محمد Kamran Janjua,Shahzad Janjua,M,1977-01-09,2015-12-21,2025-12-21,"House 462, Street 16, Model Town, Multan","House 625, Street 43, Jaranwala Road, Faisalabad",Multan,Married,Islam,0345-4050766,FT-1008
374056-9480831-3,Imran Raja,عمران راجہ,Faizan Raja,M,1998-10-31,2021-03-24,2031-03-24,"House 708, Street 31, Westridge, Rawalpindi","House 812, Street 2, Bahria Town, Rawalpindi",Rawalpindi,Married,Islam,0322-5081983,FT-1009
421011-8557444-3,Tariq Mughal,Tariq Mughal,Kamran Mughal,M,1972-04-11,2018-07-16,2028-07-16,"House 549, Street 49, Bahadurabad, Karachi","House 197, Street 14, Cantt, Lahore",Karachi,Married,Islam,0346-9801946,FT-1009
331000-5240824-1,Hassan Gondal,حسن Gondal,Hamza Gondal,M,1981-03-17,2022-10-27,2032-10-27,"House 654, Street 56, Jaranwala Road, Faisalabad","House 894, Street 1, DHA-II, Islamabad",Faisalabad,Married,Islam,0314-6716097,FT-1009
352029-1671902-3,Faizan Satti,Faizan Satti,Hassan Satti,M,1982-04-05,2015-12-15,2025-12-15,"House 122, Street 36, Wapda Town, Lahore","House 621, Street 39, DHA-I, Rawalpindi",Lahore,Married,Islam,0312-8558378,FT-1010
374051-9909133-5,Bilawal Mir,Bilawal Mir,Saad Mir,M,1969-02-02,2017-09-09,2027-09-09,"House 77, Street 11, Bahria Town, Rawalpindi","House 462, Street 45, DHA-I, Rawalpindi",Rawalpindi,Married,Islam,0321-5833597,FT-1010
363022-3493618-3,Fahad Cheema,Fahad Cheema,Nauman Cheema,M,1978-10-31,2016-08-05,2026-08-05,"House 170, Street 51, Shah Rukn-e-Alam, Multan","House 767, Street 53, Peoples Colony, Faisalabad",Multan,Married,Islam,0322-6101803,FT-1010
363024-7719065-8,Iqra Janjua,Iqra Janjua,Junaid Janjua,F,1957-04-27,2016-01-10,2026-01-10,"House 691, Street 54, Cantt, Multan","House 689, Street 53, Cantt, Peshawar",Multan,Single,Islam,0302-8893693,FT-1011
331001-6717565-4,Iqra Chaudhry,Iqra چوہدری,Farhan Chaudhry,F,1969-06-05,2018-09-12,2028-09-12,"House 508, Street 19, Jaranwala Road, Faisalabad","House 779, Street 36, Hayatabad, Peshawar",Faisalabad,Married,Islam,0333-6423634,FT-1011
611017-8760385-8,Areeba Khan,Areeba خان,Nauman Khan,F,1994-08-28,2023-07-10,2033-07-10,"House 274, Street 36, F-8, Islamabad","House 449, Street 57, Bahadurabad, Karachi",Islamabad,Married,Islam,0307-5014745,FT-1011
363028-1317127-5,Saad Rana,Saad Rana,Kamran Rana,M,1979-07-13,2019-08-29,2029-08-29,"House 484, Street 16, Model Town, Multan","House 149, Street 25, Madina Town, Faisalabad",Multan,Married,Islam,0333-7961578,FT-1012
421015-9972787-5,Muhammad Umar Gondal,محمد عمر Gondal,Umar Gondal,M,2003-10-03,2019-03-26,2029-03-26,"House 330, Street 56, DHA Phase 6, Karachi","House 245, Street 37, Model Town, Multan",Karachi,Married,Islam,0312-1732280,FT-1012
421017-2702895-0,Kiran Dar,Kiran Dar,Nauman Dar,F,1963-12-12,2020-11-24,2030-11-24,"House 16, Street 47, DHA Phase 6, Karachi","House 892, Street 42, Satellite Town, Rawalpindi",Karachi,Single,Islam,0333-6680114,FT-1012
331001-5865780-8,Saba Cheema,Saba Cheema,Bilawal Cheema,F,1976-01-23,2022-01-29,2032-01-29,"House 295, Street 15, D Ground, Faisalabad","House 101, Street 49, Bahria Town, Rawalpindi",Faisalabad,Married,Islam,0333-1485654,FT-1013
611012-6238692-3,Muhammad Abdullah Mughal,محمد عبداللہ Mughal,Imran Mughal,M,1962-01-31,2021-11-01,2031-11-01,"House 635, Street 44, F-10, Islamabad","House 935, Street 38, Satellite Town, Rawalpindi",Islamabad,Married,Islam,0333-8710313,FT-1013
421014-8217594-7,Abdullah Gondal,عبداللہ Gondal,Nauman Gondal,M,1995-12-26,2018-05-22,2028-05-22,"House 394, Street 55, PECHS, Karachi","House 243, Street 25, DHA-II, Islamabad",Karachi,Married,Islam,0322-5953150,FT-1013
611013-0974395-2,Iqra Khan,Iqra خان,Farhan Khan,F,1977-06-26,2022-08-08,2032-08-08,"House 786, Street 43, F-8, Islamabad","House 100, Street 58, Cantt, Multan",Islamabad,Married,Islam,0300-7121355,FT-1014
363024-6232858-9,Ali Raja,علی راجہ,Danish Raja,M,1969-10-05,2017-11-18,2027-11-18,"House 967, Street 31, Shah Rukn-e-Alam, Multan","House 892, Street 22, Cantt, Multan",Multan,Married,Christianity,0302-4785186,FT-1014
173019-6048175-4,Aqsa Mughal,Aqsa Mughal,Ali Mughal,F,1989-03-08,2022-02-28,2032-02-28,"House 111, Street 44, University Town, Peshawar","House 26, Street 40, DHA-I, Rawalpindi",Peshawar,Married,Islam,0321-2060605,FT-1014
363023-1200471-0,Nimra Tarar,Nimra Tarar,Kamran Tarar,F,2003-03-24,2016-07-09,2026-07-09,"House 380, Street 43, Model Town, Multan","House 761, Street 47, Madina Town, Faisalabad",Multan,Married,Islam,0314-7847048,FT-1015
421014-3515850-7,Muhammad Fahad Abbasi,محمد Fahad Abbasi,Adnan Abbasi,M,1972-01-11,2016-05-15,2026-05-15,"House 844, Street 30, Clifton, Karachi","House 218, Street 42, Cantt, Multan",Karachi,Single,Islam,0321-3112652,FT-1015
173012-9335290-5,Ali Rana,علی Rana,Usman Rana,M,1966-08-30,2021-01-21,2031-01-21,"House 179, Street 8, Hayatabad, Peshawar","House 16, Street 23, Wapda Town, Lahore",Peshawar,Married,Islam,0300-3923366,FT-1015
421018-1775891-7,Hussain Janjua,حسین Janjua,Hassan Janjua,M,1974-11-16,2021-11-24,2031-11-24,"House 803, Street 59, Bahadurabad, Karachi","House 309, Street 30, D Ground, Faisalabad",Karachi,Single,Hinduism,0312-8151684,FT-1016
363029-1592124-9,Tariq Abbasi,Tariq Abbasi,Ali Abbasi,M,1984-03-04,2019-04-10,2029-04-10,"House 544, Street 19, Model Town, Multan","House 620, Street 28, D Ground, Faisalabad",Multan,Single,Islam,0307-4607488,FT-1016
374055-7661565-4,Sadia Mir,Sadia Mir,Zain Mir,F,1968-09-10,2022-09-14,2032-09-14,"House 69, Street 6, Bahria Town, Rawalpindi","House 443, Street 7, G-10, Islamabad",Rawalpindi,Married,Islam,0346-6530541,FT-1016
363023-0494519-9,Muhammad Kamran Mir,محمد Kamran Mir,Bilawal Mir,M,1968-11-18,2022-05-13,2032-05-13,"House 868, Street 7, Shah Rukn-e-Alam, Multan","House 570, Street 24, Hayatabad, Peshawar",Multan,Married,Islam,0312-1440466,FT-1017
331000-5022961-3,Muhammad Gondal,محمد Gondal,Zain Gondal,M,1963-03-26,2023-05-15,2033-05-15,"House 386, Street 27, Jaranwala Road, Faisalabad","House 162, Street 24, Gulshan-e-Iqbal, Karachi",Faisalabad,Married,Islam,0346-2425342,FT-1017
611014-1476797-7,Bilal Malik,بلال ملک,Nauman Malik,M,1974-05-04,2023-06-20,2033-06-20,"House 354, Street 28, F-7, Islamabad","House 695, Street 44, North Nazimabad, Karachi",Islamabad,Married,Islam,0333-1761976,FT-1017
352020-3432445-0,Komal Malik,Komal ملک,Muhammad Malik,F,1999-08-16,2023-05-18,2033-05-18,"House 133, Street 25, Bahria Town, Lahore","House 236, Street 33, Shah Rukn-e-Alam, Multan",Lahore,Single,Islam,0322-1709714,FT-1018
374055-6966416-1,Adnan Raja,Adnan راجہ,Farhan Raja,M,1970-06-02,2023-12-27,2033-12-27,"House 472, Street 54, Chaklala Scheme 3, Rawalpindi","House 448, Street 55, F-7, Islamabad",Rawalpindi,Married,Islam,0312-9790632,FT-1018
611015-5218188-2,Nimra Raja,Nimra راجہ,Hamza Raja,F,1986-07-01,2023-02-27,2033-02-27,"House 661, Street 53, F-8, Islamabad","House 106, Street 10, Model Town, Lahore",Islamabad,Married,Islam,0302-2264218,FT-1018
352021-9799552-6,Noor Warraich,نور Warraich,Salman Warraich,F,1997-01-25,2019-12-17,2029-12-17,"House 816, Street 18, Bahria Town, Lahore","House 361, Street 33, F-7, Islamabad",Lahore,Married,Islam,0300-1954456,FT-1019
421019-9867980-7,Ali Cheema,علی Cheema,Waqas Cheema,M,1971-11-21,2018-08-09,2028-08-09,"House 514, Street 10, Clifton, Karachi","House 106, Street 52, Chaklala Scheme 3, Rawalpindi",Karachi,Single,Islam,0302-1656695,FT-1019
352029-9255466-4,Noor Janjua,نور Janjua,Rizwan Janjua,F,1959-09-12,2023-11-07,2033-11-07,"House 343, Street 5, Model Town, Lahore","House 572, Street 44, G-11, Islamabad",Lahore,Married,Islam,0307-3522845,FT-1019
421012-6291486-5,Farhan Mughal,Farhan Mughal,Saad Mughal,M,2002-03-23,2016-01-18,2026-01-18,"House 434, Street 33, Gulshan-e-Iqbal, Karachi","House 372, Street 20, F-8, Islamabad",Karachi,Married,Islam,0314-4221313,FT-1020
352022-8805929-7,Muhammad Hussain Butt,محمد حسین بٹ,Rizwan Butt,M,1969-07-22,2017-01-10,2027-01-10,"House 790, Street 40, Wapda Town, Lahore","House 739, Street 29, DHA Phase 5, Lahore",Lahore,Married,Islam,0322-4985095,FT-1020
374057-8347359-7,Salman Abbasi,Salman Abbasi,Hamza Abbasi,M,1980-04-12,2023-09-23,2033-09-23,"House 541, Street 27, Satellite Town, Rawalpindi","House 205, Street 52, University Town, Peshawar",Rawalpindi,Married,Islam,0314-7227905,FT-1020
331003-1247826-1,Fahad Butt,Fahad بٹ,Saad Butt,M,1995-06-22,2018-12-02,2028-12-02,"House 425, Street 4, Jaranwala Road, Faisalabad","House 383, Street 16, Jaranwala Road, Faisalabad",Faisalabad,Single,Islam,0300-6346644,FT-1021
611014-7277901-1,Muhammad Abdullah Malik,محمد عبداللہ ملک,Saad Malik,M,1974-05-07,2016-09-04,2026-09-04,"House 745, Street 39, Bahria Town, Islamabad","House 114, Street 50, Chaklala Scheme 3, Rawalpindi",Islamabad,Married,Islam,0300-5000351,FT-1021
374054-7980893-2,Maryam Butt,مریم بٹ,Umar Butt,F,1993-07-05,2015-01-07,2025-01-07,"House 247, Street 37, Westridge, Rawalpindi","House 681, Street 43, DHA Phase 5, Lahore",Rawalpindi,Married,Islam,0331-9511546,FT-1021
173011-6540515-3,Asad Malik,اسد ملک,Shahzad Malik,M,1984-10-30,2016-06-30,2026-06-30,"House 560, Street 22, University Town, Peshawar","House 798, Street 44, Gulbahar, Peshawar",Peshawar,Married,Islam,0302-2058651,FT-1022
363027-0305486-8,Fatima Gondal,فاطمہ Gondal,Usman Gondal,F,1977-09-22,2015-05-30,2025-05-30,"House 196, Street 19, Shah Rukn-e-Alam, Multan","House 800, Street 4, Cantt, Peshawar",Multan,Married,Islam,0345-8330827,FT-1022
374056-7758416-0,Kiran Raja,Kiran راجہ,Bilal Raja,F,1971-03-11,2021-02-12,2031-02-12,"House 106, Street 6, Chaklala Scheme 3, Rawalpindi","House 303, Street 20, Model Town, Multan",Rawalpindi,Married,Islam,0314-6897979,FT-1022
374050-6401658-3,Danish Mughal,Danish Mughal,Waqas Mughal,M,1967-10-23,2021-10-24,2031-10-24,"House 449, Street 3, Satellite Town, Rawalpindi","House 242, Street 50, G-10, Islamabad",Rawalpindi,Married,Islam,0346-1543335,FT-1023
331004-7192856-5,Nauman Mughal,Nauman Mughal,Imran Mughal,M,1977-05-24,2016-04-09,2026-04-09,"House 191, Street 32, Jaranwala Road, Faisalabad","House 121, Street 17, Peoples Colony, Faisalabad",Faisalabad,Married,Islam,0346-5791184,FT-1023
363028-1727155-0,Amna Butt,آمنہ بٹ,Hussain Butt,F,2003-08-22,2018-04-04,2028-04-04,"House 872, Street 11, Gulgasht Colony, Multan","House 371, Street 33, University Town, Peshawar",Multan,Single,Hinduism,0302-4971774,FT-1023
173014-9578291-0,Ayesha Mughal,عائشہ Mughal,Junaid Mughal,F,1990-09-20,2023-01-15,2033-01-15,"House 539, Street 27, Gulbahar, Peshawar","House 589, Street 5, University Town, Peshawar",Peshawar,Married,Islam,0314-8815384,FT-1024
363022-9226801-9,Hussain Rana,حسین Rana,Shahzad Rana,M,1982-04-14,2016-11-05,2026-11-05,"House 958, Street 46, Gulgasht Colony, Multan","House 971, Street 34, Gulshan-e-Iqbal, Karachi",Multan,Single,Islam,0307-5604524,FT-1024
352029-2992299-5,Waqas Janjua,Waqas Janjua,Shahzad Janjua,M,1958-09-11,2015-04-27,2025-04-27,"House 972, Street 42, Wapda Town, Lahore","House 272, Street 42, Madina Town, Faisalabad",Lahore,Married,Islam,0300-9355692,FT-1024
363027-6471027-7,Shahzad Satti,Shahzad Satti,Hamza Satti,M,1996-08-31,2017-04-15,2027-04-15,"House 148, Street 21, Shah Rukn-e-Alam, Multan","House 882, Street 23, Model Town, Multan",Multan,Married,Islam,0331-2781470,FT-1025
421012-2104696-3,Muhammad Adnan Abbasi,محمد Adnan Abbasi,Hamza Abbasi,M,1984-05-17,2021-06-24,2031-06-24,"House 195, Street 49, DHA Phase 6, Karachi","House 528, Street 30, Westridge, Rawalpindi",Karachi,Married,Islam,0301-7597509,FT-1025
331008-5004797-4,Sadia Sheikh,Sadia شیخ,Farhan Sheikh,F,1955-09-25,2016-03-16,2026-03-16,"House 904, Street 17, Peoples Colony, Faisalabad","House 413, Street 24, Hayatabad, Peshawar",Faisalabad,Married,Islam,0331-4265774,FT-1025
421015-8499121-7,Muhammad Ali Abbasi,محمد علی Abbasi,Salman Abbasi,M,1985-06-03,2021-04-03,2031-04-03,"House 774, Street 10, DHA Phase 6, Karachi","House 522, Street 26, D Ground, Faisalabad",Karachi,Single,Islam,0322-6587495,FT-1026
173019-9825952-6,Areeba Abbasi,Areeba Abbasi,Hussain Abbasi,F,1981-11-05,2021-08-28,2031-08-28,"House 849, Street 33, Gulbahar, Peshawar","House 577, Street 20, Model Town, Multan",Peshawar,Single,Islam,0307-2838859,FT-1026
374057-9749930-9,Abdullah Tarar,عبداللہ Tarar,Muhammad Tarar,M,1970-04-19,2020-11-17,2030-11-17,"House 635, Street 50, Westridge, Rawalpindi","House 842, Street 44, Gulberg III, Lahore",Rawalpindi,Single,Islam,0322-2843740,FT-1026
352023-3689702-9,Muhammad Adnan Awan,محمد Adnan اعوان,Kamran Awan,M,1984-02-29,2022-06-05,2032-06-05,"House 386, Street 21, Gulberg III, Lahore","House 935, Street 35, Chaklala Scheme 3, Rawalpindi",Lahore,Married,Islam,0322-5435261,FT-1027
331007-8434437-4,Amna Qureshi,آمنہ قریشی,Faizan Qureshi,F,1986-04-17,2021-04-14,2031-04-14,"House 815, Street 47, Peoples Colony, Faisalabad","House 125, Street 37, Bahadurabad, Karachi",Faisalabad,Married,Islam,0312-6790398,FT-1027
173014-7473384-9,Muhammad Saad Cheema,محمد Saad Cheema,Imran Cheema,M,1967-04-26,2016-03-23,2026-03-23,"House 601, Street 16, University Town, Peshawar","House 686, Street 58, Bahria Town, Islamabad",Peshawar,Married,Islam,0300-2681042,FT-1027
374054-8267734-5,Fahad Awan,Fahad اعوان,Muhammad Awan,M,1960-04-22,2023-08-15,2033-08-15,"House 588, Street 15, DHA-I, Rawalpindi","House 741, Street 55, Cantt, Multan",Rawalpindi,Married,Islam,0302-1609681,FT-1028
173014-4004991-4,Sidra Chaudhry,Sidra چوہدری,Danish Chaudhry,F,1995-10-06,2022-03-11,2032-03-11,"House 506, Street 57, University Town, Peshawar","House 517, Street 30, Cantt, Peshawar",Peshawar,Married,Islam,0345-3726201,FT-1028
363026-2054932-8,Saba Bhatti,Saba Bhatti,Fahad Bhatti,F,1993-05-15,2020-10-11,2030-10-11,"House 411, Street 43, Cantt, Multan","House 144, Street 31, Model Town, Lahore",Multan,Married,Islam,0312-4951390,FT-1028
374056-4530174-3,Muhammad Zain Warraich,محمد Zain Warraich,Muhammad Warraich,M,2000-01-31,2022-11-21,2032-11-21,"House 707, Street 8, Chaklala Scheme 3, Rawalpindi","House 630, Street 15, DHA Phase 6, Karachi",Rawalpindi,Married,Islam,0314-7268384,FT-1029
374059-3918785-0,Aqsa Sheikh,Aqsa شیخ,Salman Sheikh,F,1965-01-24,2015-09-10,2025-09-10,"House 925, Street 33, Satellite Town, Rawalpindi","House 550, Street 10, Madina Town, Faisalabad",Rawalpindi,Married,Islam,0314-2950183,FT-1029
363020-7072867-9,Fahad Cheema,Fahad Cheema,Rizwan Cheema,M,1996-06-25,2022-07-18,2032-07-18,"House 741, Street 2, Model Town, Multan","House 837, Street 1, Bahadurabad, Karachi",Multan,Married,Islam,0300-8108462,FT-1029
421017-0462265-7,Junaid Cheema,Junaid Cheema,Tariq Cheema,M,1988-11-12,2019-03-19,2029-03-19,"House 988, Street 43, North Nazimabad, Karachi","House 670, Street 56, Model Town, Lahore",Karachi,Single,Islam,0331-7594429,FT-1030
331003-0478686-3,Danish Khan,Danish خان,Salman Khan,M,1996-04-28,2018-11-18,2028-11-18,"House 194, Street 60, D Ground, Faisalabad","House 829, Street 43, G-11, Islamabad",Faisalabad,Single,Islam,0301-2692765,FT-1030
331008-0673830-3,Adnan Malik,Adnan ملک,Hamza Malik,M,1980-12-13,2017-08-17,2027-08-17,"House 750, Street 37, Peoples Colony, Faisalabad","House 613, Street 50, Peoples Colony, Faisalabad",Faisalabad,Married,Islam,0302-9745141,FT-1030
352026-8926870-4,Nimra Bhatti,Nimra Bhatti,Ahmed Bhatti,F,2002-01-19,2018-07-29,2028-07-29,"House 419, Street 10, Model Town, Lahore","House 189, Street 49, DHA-I, Rawalpindi",Lahore,Married,Islam,0321-6045519,FT-1031
173013-6688263-5,Abdullah Malik,عبداللہ ملک,Junaid Malik,M,1984-08-18,2022-04-02,2032-04-02,"House 461, Street 55, Cantt, Peshawar","House 549, Street 47, F-10, Islamabad",Peshawar,Single,Islam,0307-1663497,FT-1031
173013-8373540-3,Usman Warraich,عثمان Warraich,Danish Warraich,M,1965-07-11,2023-05-18,2033-05-18,"House 491, Street 59, University Town, Peshawar","House 619, Street 46, Gulgasht Colony, Multan",Peshawar,Married,Islam,0331-6395804,FT-1031
173015-4458771-7,Asad Tarar,اسد Tarar,Imran Tarar,M,1973-03-23,2019-02-27,2029-02-27,"House 47, Street 37, University Town, Peshawar","House 150, Street 2, Shah Rukn-e-Alam, Multan",Peshawar,Married,Islam,0321-6534221,FT-1032
352022-8547772-4,Hina Qureshi,Hina قریشی,Tariq Qureshi,F,1967-07-23,2023-01-29,2033-01-29,"House 189, Street 59, Bahria Town, Lahore","House 981, Street 4, Cantt, Multan",Lahore,Single,Islam,0307-1813936,FT-1032
173019-1203875-1,Muhammad Kamran Tarar,محمد Kamran Tarar,Hamza Tarar,M,1998-05-08,2022-05-24,2032-05-24,"House 7, Street 35, Gulbahar, Peshawar","House 18, Street 34, G-9, Islamabad",Peshawar,Married,Islam,0322-8223819,FT-1032
173011-3398454-7,Hassan Janjua,حسن Janjua,Hussain Janjua,M,1988-06-20,2019-07-22,2029-07-22,"House 250, Street 45, University Town, Peshawar","House 701, Street 53, Clifton, Karachi",Peshawar,Single,Islam,0312-7327855,FT-1033
