consumer_no,customer_name,customer_cnic,service_address,company,meter_number,units_hm3,bill_amount,billing_month
83275327352,Mohammad Saad Cheema,173014-7473384-9,"House 601, Street 16, University Town, Peshawar",SNGPL,77397327,173,32009,2024-05
93059660186,Hamza Chaudhry,331006-0256342-1,"House 837, Street 59, Jaranwala Road, Faisalabad",SNGPL,48769984,83,11713,2024-05
51241893898,Zainab Qureshi,374050-1509839-2,"House 235, Street 5, Bahria Town, Rawalpindi",SNGPL,81974005,122,21323,2024-05
00507026086,Hira Sanduh,173018-3309584-8,"House 300, Street 19, Cantt, Peshawar",SNGPL,10531611,564,138707,2024-05
46091785138,Md. Ali Abbasi,421015-8499121-7,"House 774, Street 10, DHA Phase 6, Karachi",SSGC,77029929,352,58330,2024-05
26610941017,Uamr Malik,363023-0564139-5,"House 659, Street 30, Gulgasht Colony, Multan",SNGPL,51762983,206,29961,2024-05
88953690261,Sidra Khan,173013-4668893-6,"House 399, Street 22, Gulbahar, Peshawar",SNGPL,39898681,117,26931,2024-05
35884183437,Salman Abbasi,374057-8347359-7,"House 541, Street 27, Satellite Town, Rawalpindi",SNGPL,82727955,71,13723,2024-05
15627796304,Saad Rana,363028-1317127-5,"House 484, Street 16, Model Town, Multan",SNGPL,60854566,261,58770,2024-05
37639283692,Salman Malik,352027-0330923-3,"House 477, Street 45, Model Town, Lahore",SNGPL,55116682,303,59049,2024-05
72894134750,Imran Raja,374056-9480831-3,"House 708, Street 31, Westridge, Rawalpindi",SNGPL,98645652,148,36105,2024-05
66630932998,Muhammad Adnan Awan,352023-3689702-9,"House 386, Street 21, Gulberg III, Lahore",SNGPL,60593297,139,29046,2024-05
88754394353,Ali Awan,374055-7204653-7,"House 285, Street 49, Westridge, Rawalpindi",SNGPL,51376515,300,57857,2024-05
84587149392,Hassan Janjua,173011-3398454-7,"House 250, Street 45, University Town, Peshawar",SNGPL,62292587,119,24389,2024-05
89659994973,Sadia Mir,374055-7661565-4,"House 69, Street 6, Bahria Town, Rawalpindi",SNGPL,31922270,206,33378,2024-05
43000389608,Hira Bhatti,352021-3178108-0,"House 493, Street 14, Wapda Town, Lahore",SNGPL,62668217,71,9609,2024-05
50566588339,Rabia Mughal,363021-1047541-2,"House 569, Street 33, Model Town, Multan",SNGPL,11325797,72,17551,2024-05
05783609149,Ayesha Janjua,611011-8356159-4,"House 419, Street 21, G-11, Islamabad",SNGPL,72444723,31,6260,2024-05
24395873959,Mohammed Danish Chaudhry,363022-2586736-3,"House 629, Street 57, Gulgasht Colony, Multan",SNGPL,21089028,30,4959,2024-05
56033190368,Nimra Mir,173018-8723430-8,"House 52, Street 38, Gulbahar, Peshawar",SNGPL,03010272,87,13636,2024-05
37931269789,Ail Raja,363024-6232858-9,"House 967, Street 31, Shah Rukn-e-Alam, Multan",SNGPL,46452059,323,63900,2024-05
66155416431,Muhammad Sheihk,173017-6887676-7,"House 815, Street 49, University Town, Peshawar",SNGPL,70450232,92,17792,2024-05
00934596262,Mohammed Farhan Rana,331003-5807836-1,"House 357, Street 56, D Ground, Faisalabad",SNGPL,25120734,39,6726,2024-05
45245557469,Rabia Khan,421012-4773586-6,"House 303, Street 52, DHA Phase 6, Karachi",SSGC,60652740,123,27848,2024-05
94643039429,Fahad Cheema,363020-7072867-9,"House 741, Street 2, Model Town, Multan",SNGPL,88679252,212,41621,2024-05
59821766191,Danish Bhatti,374055-2814893-3,"House 945, Street 34, Bahria Town, Rawalpindi",SNGPL,11730985,580,71299,2024-05
35956164205,Hussain Qureshi,352026-9176936-7,"House 6, Street 58, Wapda Town, Lahore",SNGPL,65749025,155,19498,2024-05
48840215573,Fahad Dar,421018-7979688-7,"House 719, Street 58, North Nazimabad, Karachi",SSGC,75534490,679,93861,2024-05
15026755125,Fahad Butt,331003-1247826-1,"House 425, Street 4, Jaranwala Road, Faisalabad",SNGPL,20797996,262,56336,2024-05
59991015767,Muhammad Kamra nJanjua,363025-4987769-5,"House 462, Street 16, Model Town, Multan",SNGPL,72298120,45,8872,2024-05
41312840333,Asad Tarar,173015-4458771-7,"House 47, Street 37, University Town, Peshawar",SNGPL,71805137,32,4324,2024-05
85037199051,Sadia Satti,363027-6311656-6,"House 662, Street 7, Cantt, Multan",SNGPL,91872401,97,12088,2024-05
09404760440,Adnan Raja,374055-6966416-1,"House 472, Street 54, Chaklala Scheme 3, Rawalpindi",SNGPL,79772781,308,38489,2024-05
35047639283,Muhammad Umar Gondal,421015-9972787-5,"House 330, Street 56, DHA Phase 6, Karachi",SSGC,99529800,96,21534,2024-05
39749096173,Hina Qureshi,352022-8547772-4,"House 189, Street 59, Bahria Town, Lahore",SNGPL,70469472,102,16597,2024-05
95764038166,Muhammad Abdullah Mlaik,611014-7277901-1,"House 745, Street 39, Bahria Town, Islamabad",SNGPL,02824983,122,29730,2024-05
67024403304,Saba Cheema,331001-5865780-8,"House 295, Street 15, D Ground, Faisalabad",SNGPL,24111860,157,19140,2024-05
76074017750,Amna Butt,363028-1727155-0,"House 872, Street 11, Gulgasht Colony, Multan",SNGPL,46540842,388,61351,2024-05
49960105485,Md. Zain Dar,341007-1939828-1,"House 852, Street 45, D Ground, Faisalabad",SNGPL,15622949,180,26279,2024-05
76112491256,Sab aBhatti,363026-2054932-8,"House 411, Street 43, Cantt, Multan",SNGPL,73415177,55,11980,2024-05
63945680447,Abdullah Gondal,421014-8217594-7,"House 394, Street 55, PECHS, Karachi",SSGC,97646136,39,7524,2024-05
49951542144,Tariq Mughal,421011-8557444-3,"House 549, Street 49, Bahadurabad, Karachi",SSGC,24491342,90,11922,2024-05
74949022840,Aqsa Sheikh,374059-3918785-0,"House 925, Street 33, Satellite Town, Rawalpindi",SNGPL,54429477,264,54786,2024-05
22161070518,Nimra Raja,611015-5218188-2,"House 661, Street 53, F-8, Islamabad",SNGPL,90552958,776,94549,2024-05
71006876164,Fahad Awan,374054-8267734-5,"House 588, Street 15, DHA-I, Rawalpindi",SNGPL,98077046,68,15482,2024-05
87535778811,Nimra Tarar,,"House 380, Street 43, Model Town, Multan",SNGPL,20281237,43,10021,2024-05
10287950830,Asad Khan,331007-4369957-7,"House 923, Street 51, Madina Town, Faisalabad",SNGPL,40580935,173,23215,2024-05
09150863218,Ayesha Mughal,173014-9578291-0,"House 539, Street 27, Gulbahar, Peshawar",SNGPL,76457938,131,25411,2024-05
72872760153,Junaid Cheema,421017-0462265-7,"House 988, Street 43, North Nazimabad, Karachi",SSGC,49135779,63,15035,2024-05
36076581739,Iqra Khan,611013-0974395-2,"House 786, Street 43, F-8, Islamabad",SNGPL,37579145,179,24825,2024-05
73642480962,Shahzda Satti,,"House 148, Street 21, Shah Rukn-e-Alam, Multan",SNGPL,30624479,81,18041,2024-05
35782434776,Areeba Khan,611017-8760385-8,"House 274, Street 36, F-8, Islamabad",SNGPL,41314675,69,10499,2024-05
91681546602,Hussain Rana,363022-9226801-9,"House 958, Street 46, Gulgasht Colony, Multan",SNGPL,16139449,50,9341,2024-05
25178637673,Asda Malik,173011-6540515-3,"House 560, Street 22, University Town, Peshawar",SNGPL,52654696,79,14965,2024-05
11289812317,Muhammad Zai nGondal,363029-2528669-3,"House 651, Street 35, Gulgasht Colony, Multan",SNGPL,56331857,79,12101,2024-05
08830705349,Hassan Gondal,331000-5240824-1,"House 654, Street 56, Jaranwala Road, Faisalabad",SNGPL,27411767,187,28834,2024-05
13824127049,Noor Warraich,352021-9799552-6,"House 816, Street 18, Bahria Town, Lahore",SNGPL,20448515,175,31607,2024-05
33426433502,Muhammad Farhan Rana,173015-5537147-9,"House 117, Street 23, Cantt, Peshawar",SNGPL,16073607,85,15045,2024-05
48736826911,Areeba Abbasi,173019-9825952-6,"House 849, Street 33, Gulbahar, Peshawar",SNGPL,19422686,78,12929,2024-05
83548847127,M. Kamran Tarar,173019-1203875-1,"House 7, Street 35, Gulbahar, Peshawar",SNGPL,21641758,172,39032,2024-05
29884259959,Salman Cheema,611015-3164752-5,"House 960, Street 44, F-7, Islamabad",SNGPL,00231177,54,8752,2024-05
20575639836,Komal Malik,352020-3432445-0,"House 133, Street 25, Bahria Town, Lahore",SNGPL,03758309,65,10422,2024-05
01425762702,Maryam Butt,374054-7980893-2,"House 247, Street 37, Westridge, Rawalpindi",SNGPL,41233613,106,14844,2024-05
70216487120,Kiran Sheikh,,"House 71, Street 33, Bahadurabad, Karachi",SSGC,21288665,115,15705,2024-05
81083583286,Kiran Dar,421017-2702895-0,"House 16, Street 47, DHA Phase 6, Karachi",SSGC,25563830,270,33666,2024-05
