passport_no,cnic,full_name,nationality,pnr,airline,flight_no,departure_airport,arrival_airport,destination_country,travel_date,ticket_cost,travel_frequency_year
MB5560250,421015-9972787-5,Muhammad Umar Gondal,PAK,RUSR9M,Saudia,SV-842,PEW,JED,Saudi Arabia,2024-06-25,155321,1
LL9724962,611019-9399091-7,Nauman Dar,PAK,R5KG8Z,Qatar Airways,QR-622,PEW,JED,Saudi Arabia,2024-03-05,584488,3
NC4556981,611014-6324241-5,Muhammad Bilawal Abbasi,PAK,K6D3HZ,PIA,PK-828,LHE,JED,Saudi Arabia,2024-05-05,344680,1
PD5263793,173013-4668893-6,Sidra Khan,PAK,Q4R1A3,Etihad,EY-248,ISB,JED,Saudi Arabia,2023-10-08,289131,1
LC8639392,331007-7518636-3,Bilawal Cheema,PAK,GQ5HKT,PIA,PK-395,PEW,IST,Turkey,2024-01-03,870678,3
LG3628520,374055-6966416-1,Adnan Raja,PAK,QZXMUN,Qatar Airways,QR-223,ISB,DOH,Qatar,2024-04-26,545652,2
PL3977034,331000-5022961-3,Muhammad Gondal,PAK,0N9E1T,Turkish,TK-448,LHE,BKK,Thailand,2024-11-20,215277,1
LC8639392,331007-7518636-3,Bilawal Cheema,PAK,0JBNZY,Qatar Airways,QR-589,ISB,DXB,UAE,2024-11-01,507420,3
GM1718961,331003-1247826-1,Fahad Butt,PAK,01FB0K,PIA,PK-666,ISB,IST,Turkey,2023-11-25,563051,3
BP7110659,173013-8373540-3,Usman Warraich,PAK,5GWWNG,Emirates,EK-421,LHE,KUL,Malaysia,2024-01-10,2131657,2
NE9584609,374055-7661565-4,Sadia Mir,PAK,VL0CC6,Emirates,EK-254,PEW,DOH,Qatar,2023-08-01,401378,2
JP8354627,173018-3309584-8,Hira Sandhu,PAK,VN6T8N,Turkish,TK-258,MUX,JFK,USA,2023-07-21,1287868,6
EC9422685,331000-2176591-8,Fatima Tarar,PAK,WWEPAW,Emirates,EK-548,PEW,IST,Turkey,2023-02-04,487497,2
GG6025077,374055-2814893-3,Danish Bhatti,PAK,503EUY,Emirates,EK-724,MUX,LHR,UK,2024-05-03,2370334,5
GN3972741,421012-2104696-3,Muhammad Adnan Abbasi,PAK,DZQTTB,Saudia,SV-707,PEW,IST,Turkey,2024-03-29,318315,1
NK1858921,374055-7204653-7,Ali Awan,PAK,US2L3P,PIA,PK-367,KHI,LHR,UK,2023-04-10,620735,3
LC6001913,363020-7072867-9,Fahad Cheema,PAK,K387KJ,Turkish,TK-527,MUX,LHR,UK,2024-08-13,866393,3
GG6025077,374055-2814893-3,Danish Bhatti,PAK,V8LAGK,PIA,PK-775,KHI,BKK,Thailand,2023-03-03,1711511,5
BE4954093,374058-2513542-7,Ali Janjua,PAK,AK37FK,Turkish,TK-252,ISB,KUL,Malaysia,2024-04-27,1245234,4
AD7329894,352022-8805929-7,Muhammad Hussain Butt,PAK,8KER4T,Emirates,EK-543,KHI,KUL,Malaysia,2024-03-04,515337,3
NK1858921,374055-7204653-7,Ali Awan,PAK,ARETMH,Qatar Airways,QR-662,KHI,JED,Saudi Arabia,2023-05-05,513125,3
JJ1953785,363023-0564139-5,Umar Malik,PAK,0JAU59,PIA,PK-701,PEW,IST,Turkey,2024-07-17,394327,3
LM6703062,611015-5218188-2,Nimra Raja,PAK,PPYN9S,PIA,PK-801,KHI,JED,Saudi Arabia,2024-12-26,1758321,2
JP8354627,173018-3309584-8,Hira Sandhu,PAK,5EYLPF,Emirates,EK-223,LHE,KUL,Malaysia,2024-10-20,1359195,6
LM6703062,611015-5218188-2,Nimra Raja,PAK,G595HD,PIA,PK-821,LHE,KUL,Malaysia,2023-09-04,1277729,2
DA7822403,421019-9867980-7,Ali Cheema,PAK,W0G582,PIA,PK-765,MUX,LHR,UK,2023-01-09,346619,1
JL4616959,421014-3515850-7,Muhammad Fahad Abbasi,PAK,WSPBN1,Etihad,EY-502,PEW,KUL,Malaysia,2024-07-02,816695,1
LC4537620,611014-7277901-1,Muhammad Abdullah Malik,PAK,RVA94N,Turkish,TK-550,KHI,JED,Saudi Arabia,2023-09-01,346519,1
AL8540805,173019-6048175-4,Aqsa Mughal,PAK,FLPEK2,Qatar Airways,QR-311,PEW,DXB,UAE,2023-08-23,790775,2
GG6025077,374055-2814893-3,Danish Bhatti,PAK,P3K4JV,Qatar Airways,QR-605,LHE,DXB,UAE,2023-05-26,967283,5
BG1683460,352029-1671902-3,Faizan Satti,PAK,9TN7RD,Emirates,EK-640,LHE,JFK,USA,2024-09-19,922173,4
MC6419421,173014-7473384-9,Muhammad Saad Cheema,PAK,G3TUDR,PIA,PK-662,LHE,JFK,USA,2024-11-29,227074,1
PM4729079,352026-8926870-4,Nimra Bhatti,PAK,1ZZB79,Qatar Airways,QR-469,PEW,DOH,Qatar,2024-07-26,208603,1
LL4984280,331003-0478686-3,Danish Khan,PAK,0X5CBH,Qatar Airways,QR-371,KHI,DXB,UAE,2024-07-08,115301,1
EN2397006,352027-0330923-3,Salman Malik,PAK,SBFELK,Qatar Airways,QR-550,LHE,LHR,UK,2024-06-18,756722,2
CN8913154,421018-7979688-7,Fahad Dar,PAK,0RG1DM,Emirates,EK-650,ISB,DXB,UAE,2024-10-22,2802424,6
JD3900342,611014-8398262-3,Muhammad Kamran Cheema,PAK,NKAVFD,Saudia,SV-586,ISB,LHR,UK,2023-04-03,199918,1
EC9784296,331008-0673830-3,Adnan Malik,PAK,UMRJT1,Etihad,EY-427,LHE,BKK,Thailand,2024-07-13,497172,2
BE5381205,363029-1592124-9,Tariq Abbasi,PAK,XBCABB,Etihad,EY-231,ISB,LHR,UK,2023-11-27,2058933,6
ME1537436,331004-0598262-1,Muhammad Hassan Awan,PAK,Y8VU12,Etihad,EY-440,KHI,DOH,Qatar,2024-11-13,2797958,3
PN9496643,173011-3398454-7,Hassan Janjua,PAK,J7X8XT,Etihad,EY-754,KHI,BKK,Thailand,2024-08-25,223279,1
LL6158936,352020-3432445-0,Komal Malik,PAK,JZ93PG,Etihad,EY-517,KHI,JED,Saudi Arabia,2023-03-26,100787,1
JF2260164,331000-5240824-1,Hassan Gondal,PAK,HMPFQD,Qatar Airways,QR-483,KHI,LHR,UK,2024-07-17,699999,2
HH2024902,374056-4530174-3,Muhammad Zain Warraich,PAK,AZA0KF,Etihad,EY-874,LHE,BKK,Thailand,2023-07-04,256190,1
KK4299424,374058-2788957-9,Muhammad Junaid Butt,PAK,CUXB2E,Etihad,EY-685,PEW,DXB,UAE,2024-04-19,139631,1
FL5092999,363028-1727155-0,Amna Butt,PAK,2HK3XB,Turkish,TK-762,LHE,JFK,USA,2024-02-20,353221,3
LC6001913,363020-7072867-9,Fahad Cheema,PAK,UY485C,Turkish,TK-870,PEW,DOH,Qatar,2023-04-04,419224,3
JF2087833,374056-7758416-0,Kiran Raja,PAK,L120U5,Qatar Airways,QR-291,MUX,JED,Saudi Arabia,2023-10-30,103826,1
PF6987463,611012-6238692-3,Muhammad Abdullah Mughal,PAK,3BEGJQ,Etihad,EY-620,ISB,IST,Turkey,2023-07-29,867105,2
JP8354627,173018-3309584-8,Hira Sandhu,PAK,JX94RN,Emirates,EK-837,LHE,DXB,UAE,2023-02-07,2772719,6
NG4992524,331007-8434437-4,Amna Qureshi,PAK,0HNP4E,Turkish,TK-883,MUX,DOH,Qatar,2023-10-31,869829,1
CC4293942,363027-6311656-6,Sadia Satti,PAK,CVAJN2,PIA,PK-782,LHE,KUL,Malaysia,2024-03-03,253389,1
LE8439215,363024-7719065-8,Iqra Janjua,PAK,NR77T3,Saudia,SV-250,KHI,IST,Turkey,2023-01-04,99125,1
JP8354627,173018-3309584-8,Hira Sandhu,PAK,MR1DCN,Qatar Airways,QR-217,KHI,IST,Turkey,2023-11-06,2398894,6
MF6987782,363024-6232858-9,Ali Raja,PAK,TNMLQC,Etihad,EY-383,LHE,JFK,USA,2023-08-03,452247,1
BE5381205,363029-1592124-9,Tariq Abbasi,PAK,XFZ9T9,PIA,PK-353,PEW,DXB,UAE,2024-01-22,2348511,6
GM1718961,331003-1247826-1,Fahad Butt,PAK,XYD38M,Saudia,SV-646,MUX,IST,Turkey,2023-04-22,579222,3
LG3628520,374055-6966416-1,Adnan Raja,PAK,QGZR89,Etihad,EY-382,KHI,JED,Saudi Arabia,2023-12-06,654716,2
NM3126997,173012-9335290-5,Ali Rana,PAK,JD9MQJ,PIA,PK-446,ISB,IST,Turkey,2024-06-04,149932,1
HD2568383,421014-8217594-7,Abdullah Gondal,PAK,C6TLA7,Qatar Airways,QR-421,PEW,IST,Turkey,2023-12-05,95568,1
FL5092999,363028-1727155-0,Amna Butt,PAK,00Y2EP,Turkish,TK-215,MUX,DOH,Qatar,2024-05-08,628961,3
CN8913154,421018-7979688-7,Fahad Dar,PAK,HM44AM,Emirates,EK-784,LHE,DXB,UAE,2024-03-26,2989255,6
BE4954093,374058-2513542-7,Ali Janjua,PAK,FCLVXG,Emirates,EK-239,MUX,DXB,UAE,2023-03-26,2398417,4
LC8639392,331007-7518636-3,Bilawal Cheema,PAK,MGFUB1,Saudia,SV-840,MUX,JED,Saudi Arabia,2023-05-24,506900,3
JF2260164,331000-5240824-1,Hassan Gondal,PAK,UWMFJ9,Etihad,EY-817,MUX,JED,Saudi Arabia,2023-04-13,373836,2
GG6025077,374055-2814893-3,Danish Bhatti,PAK,55ZP5J,PIA,PK-625,ISB,IST,Turkey,2023-09-09,2574530,5
LB5763210,352028-6142939-7,Muhammad Warraich,PAK,7K7Q34,Qatar Airways,QR-852,PEW,JED,Saudi Arabia,2023-10-27,287571,1
BG7141140,374059-3918785-0,Aqsa Sheikh,PAK,BLJCXC,Etihad,EY-819,LHE,DXB,UAE,2024-11-09,800846,2
BG7141140,374059-3918785-0,Aqsa Sheikh,PAK,KE9MEJ,PIA,PK-535,MUX,DOH,Qatar,2024-02-12,627776,2
EN2397006,352027-0330923-3,Salman Malik,PAK,X03G81,Saudia,SV-417,LHE,IST,Turkey,2023-07-14,718451,2
JJ1953785,363023-0564139-5,Umar Malik,PAK,JRZT5R,Etihad,EY-665,LHE,JFK,USA,2024-12-28,841852,3
MH3344288,331008-5004797-4,Sadia Sheikh,PAK,YBF760,Saudia,SV-248,LHE,KUL,Malaysia,2024-08-01,133955,1
LP9621787,363022-9226801-9,Hussain Rana,PAK,08NEFN,Etihad,EY-826,KHI,KUL,Malaysia,2023-01-27,131024,1
HD8147437,363026-2054932-8,Saba Bhatti,PAK,2BXQ4B,Emirates,EK-704,MUX,IST,Turkey,2024-07-11,95071,1
LG6428764,611011-8356159-4,Ayesha Janjua,PAK,MALS2F,Etihad,EY-698,KHI,JFK,USA,2023-06-01,122848,1
BG1683460,352029-1671902-3,Faizan Satti,PAK,DJEGAG,Qatar Airways,QR-688,ISB,KUL,Malaysia,2024-04-25,2028469,4
